"Designator","Quantity","Value","Cmp name","Footprint","Description","TME","Farnell","Mouser"
"BAT1, ","1","Battery","Battery","MRS_Connectors:Header_1x02_P2.54mm","Multiple-cell battery","KEYS2468RB","",""
"C1, C5, C7, ","3","1uF","C","MRS_Passives:C0603","","CL10A105KA8NNNC","",""
"C2, C3, ","2","0.1uF","C","MRS_Passives:C0603","","CL10B104KO8NNNC","",""
"C4, C6, ","2","10uF","C","MRS_Passives:C0603","","CL10A106MO8NQNC","",""
"H1, H2, ","2","Mounting_hole_unplated_3,2mm","Mounting_hole_unplated_3,2mm","MRS_Mechanical:Mounting_hole_unplated_3,2mm","","","",""
"H6, H5, H4, H3, ","4","Break_away_tab","Break_away_tab","MRS_Mechanical:Breakaway_tab_holes","","","",""
"H111, ","1","Mr_Gardener_Logo_Small","Mr_Gardener_Logo_Small","Logos:mrg_gardener_08mm","","","",""
"J1, ","1","SWO","Header_1x5","MRS_Connectors:Header_1x05_P2.54mm","","","",""
"J3, J2, ","2","Header_1x3","Header_1x3","MRS_Connectors:Header_1x03_P2.54mm","","","",""
"J4, ","1","Header_1x2","Header_1x2","MRS_Connectors:Header_1x02_P2.54mm","","","",""
"LD3, ","1","ORANGE","Diode_LED_0805","MRS_Diodes:LED_0805","","LTST-C170KFKT","",""
"LD13, ","1","RED","Diode_LED_0805","MRS_Diodes:LED_0805","","LTST-C170KRKT","",""
"Q1, Q2, ","2","2N7002P.215","AO3434A","MRS_SOT:SOT-23","","2N7002P.215","",""
"R1, ","1","10k","R","MRS_Passives:R0603","","WF06P-10K-5%","",""
"R3, R2, ","2","1k","R","MRS_Passives:R0603","","WF06P-1K-5%","",""
"U1, ","1","STM32L031K6T6","STM32L031K6T6","MRS_QFP:LQFP-32_7x7mm_P0.8mm","","STM32L031K6T6","",""
"U2, ","1","AP2204RB-3.3TRG1","AP2204RB-3.3TRG1","MRS_SOT:SOT-89","","AP2204RB-3.3TRG1","",""
